GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SYG_bootstrap/SYG-rest-controller,syg.controller,QuestionsController,12,66,1,3,3,14,1,5,0,4
SYG_bootstrap/SYG-rest-controller,syg.controller,UserController,65,71,0,0,18,17,1,5,1,5
SYG_bootstrap/SYG-rest-controller,syg.controller,CategoryController,7,29,0,0,2,7,0,3,0,3
SYG_bootstrap/SYG-domain,syg.domain.services,CategoryServiceImpl,0,12,0,0,0,3,0,3,0,3
SYG_bootstrap/SYG-domain,syg.domain.services,UserServiceImpl,4,23,0,0,1,5,1,5,1,5
SYG_bootstrap/SYG-domain,syg.domain.services,QuestionsServiceImpl,8,17,0,0,4,4,2,4,2,4
SYG_bootstrap/SYG-domain,syg.domain.model,User,119,152,23,15,0,10,20,19,2,18
SYG_bootstrap/SYG-domain,syg.domain.model,Answer,152,21,30,0,5,4,23,4,8,4
SYG_bootstrap/SYG-domain,syg.domain.model,WikiData,225,54,39,3,30,5,30,5,9,5
SYG_bootstrap/SYG-domain,syg.domain.model,Category,106,15,22,0,1,3,17,3,6,3
SYG_bootstrap/SYG-domain,syg.domain.model,Question,209,33,40,0,5,6,30,6,10,6
SYG_bootstrap/SYG-domain,syg.domain.model.enums,CategoryEnum,60,0,0,0,12,0,4,0,4,0
SYG_bootstrap/SYG-domain,syg.domain.exception,NotFoundException,0,4,0,0,0,2,0,1,0,1
SYG_bootstrap/SYG-domain,syg.domain.exception,ConflictException,0,4,0,0,0,2,0,1,0,1
SYG_bootstrap/SYG-mysql-adapter,syg.mysql.entities,AnswerEntity,198,24,38,0,3,9,29,5,10,5
SYG_bootstrap/SYG-mysql-adapter,syg.mysql.entities,UserEntity,147,124,23,15,0,10,27,12,9,11
SYG_bootstrap/SYG-mysql-adapter,syg.mysql.entities,CategoryEntity,158,18,30,0,3,7,24,4,9,4
SYG_bootstrap/SYG-mysql-adapter,syg.mysql.entities,QuestionEntity,217,52,46,0,1,13,32,8,9,8
SYG_bootstrap/SYG-mysql-adapter,syg.mysql.mapper,QuestionMapper,6,95,1,9,0,16,1,9,0,5
SYG_bootstrap/SYG-mysql-adapter,syg.mysql.mapper,UserMapper,0,85,0,4,0,15,0,7,0,5
SYG_bootstrap/SYG-mysql-adapter,syg.mysql.mapper,AnswerMapper,0,69,0,4,0,13,0,7,0,5
SYG_bootstrap/SYG-mysql-adapter,syg.mysql.mapper,CategoryMapper,0,65,0,4,0,13,0,7,0,5
SYG_bootstrap/SYG-mysql-adapter,syg.mysql.adapter,CategoryAdapter,0,34,0,2,0,6,0,4,0,3
SYG_bootstrap/SYG-mysql-adapter,syg.mysql.adapter,UserAdapter,8,123,0,14,2,19,0,13,0,6
SYG_bootstrap/SYG-mysql-adapter,syg.mysql.adapter,QuestionAdapter,200,42,10,2,34,7,9,5,4,4
